"day","symbol","asset_type","open","high","low","close","volume"
"2024-12-04","BTC","crypto","56002.83000000","59533.42000000","54570.44000000","58600.33000000","7725237"
"2024-12-04","COST","stock","566.95","566.66","566.66","566.95","1254607"
"2024-12-04","ETH","crypto","2698.21000000","2698.21000000","2543.25000000","2574.78000000","438843"
"2024-12-04","JNJ","stock","278.65","278.65","282.51","283.49","1718121"
"2024-12-04","MSFT","stock","167.65","167.61","168.47","168.88","26522742"
"2024-12-04","PG","stock","63.07","62.97","63.08","63.28","3283142"
"2024-12-04","V","stock","203.08","203.08","206.59","207.83","1106297"
"2024-12-03","BTC","crypto","63474.43000000","63474.43000000","55800.74000000","57669.99000000","2062085"
"2024-12-03","COST","stock","572.51","564.91","565.86","572.51","995788"
"2024-12-03","ETH","crypto","2453.23000000","2576.00000000","2268.47000000","2530.05000000","5204126"
"2024-12-03","JNJ","stock","273.80","273.80","282.32","284.25","3546534"
"2024-12-03","MSFT","stock","166.18","161.31","166.68","167.49","16595840"
"2024-12-03","PG","stock","62.79","62.79","63.23","63.27","6228609"
"2024-12-03","V","stock","206.90","201.98","203.61","206.90","2949149"
"2024-12-02","BTC","crypto","59376.28000000","66232.03000000","58900.36000000","63045.17000000","6507401"
"2024-12-02","COST","stock","576.16","571.14","572.96","576.16","1164092"
"2024-12-02","ETH","crypto","2545.78000000","2619.33000000","2350.88000000","2405.30000000","1681402"
"2024-12-02","JNJ","stock","273.39","267.93","274.41","278.34","7140140"
"2024-12-02","MSFT","stock","164.01","164.01","165.56","166.86","1451990"
"2024-12-02","PG","stock","64.70","62.45","62.89","64.70","2023128"
"2024-12-02","V","stock","213.92","207.87","208.45","213.92","2189421"
"2024-11-29","BTC","crypto","62321.92000000","67028.39000000","62177.13000000","66175.70000000","1061690"
"2024-11-29","COST","stock","563.83","563.83","575.43","577.87","4364405"
"2024-11-29","ETH","crypto","2667.32000000","2670.16000000","2519.28000000","2530.25000000","2503077"
"2024-11-29","JNJ","stock","285.12","273.68","275.19","285.12","21587383"
"2024-11-29","MSFT","stock","162.96","162.96","163.99","164.38","1660999"
"2024-11-29","PG","stock","65.16","64.53","64.53","65.16","1967825"
"2024-11-29","V","stock","211.17","206.43","213.52","215.48","5029549"
"2024-11-28","BTC","crypto","64050.58000000","70643.34000000","60900.78000000","65586.75000000","3268649"
"2024-11-28","COST","stock","564.17","564.17","564.99","565.44","6598669"
"2024-11-28","ETH","crypto","2709.17000000","2847.44000000","2581.95000000","2666.12000000","3286279"
"2024-11-28","JNJ","stock","264.46","264.46","284.55","284.75","2049746"
"2024-11-28","MSFT","stock","166.14","163.87","164.20","166.14","5572127"
"2024-11-28","PG","stock","64.57","64.57","65.04","65.71","2451058"
"2024-11-28","V","stock","201.59","201.59","210.98","211.00","8692754"
"2024-11-27","BTC","crypto","63591.27000000","64926.03000000","59280.85000000","64247.74000000","8171318"
"2024-11-27","COST","stock","570.23","560.98","563.49","570.23","4429230"
"2024-11-27","ETH","crypto","2694.95000000","2845.96000000","2616.02000000","2758.02000000","373480"
"2024-11-27","JNJ","stock","262.85","255.67","263.54","269.98","1087364"
"2024-11-27","MSFT","stock","162.08","162.08","166.72","166.83","3276160"
"2024-11-27","PG","stock","64.33","64.33","64.64","64.71","6932502"
"2024-11-27","V","stock","198.12","198.12","201.47","202.49","7955147"
"2024-11-26","BTC","crypto","56824.33000000","67321.68000000","56824.33000000","63501.01000000","1424597"
"2024-11-26","COST","stock","564.48","564.48","570.14","577.16","17393950"
"2024-11-26","ETH","crypto","2817.02000000","2963.64000000","2651.49000000","2789.29000000","499459"
"2024-11-26","JNJ","stock","273.50","259.20","263.91","273.50","19278924"
"2024-11-26","MSFT","stock","168.15","160.56","162.33","168.15","11664768"
"2024-11-26","PG","stock","64.50","64.08","64.64","64.89","22207960"
"2024-11-26","V","stock","201.08","194.46","197.40","201.08","389431"
"2024-11-25","BTC","crypto","55955.07000000","60041.63000000","54494.24000000","58976.77000000","1814496"
"2024-11-25","COST","stock","556.57","556.57","566.14","568.66","1114581"
"2024-11-25","ETH","crypto","2757.72000000","3011.78000000","2580.23000000","2791.72000000","1464811"
"2024-11-25","JNJ","stock","281.15","274.13","275.29","281.15","1249111"
"2024-11-25","MSFT","stock","168.87","167.10","167.77","169.82","1420178"
"2024-11-25","PG","stock","63.85","63.85","64.38","64.46","1881735"
"2024-11-25","V","stock","197.38","197.38","199.94","202.45","2064893"
"2024-11-22","BTC","crypto","50971.92000000","57598.68000000","50971.92000000","53627.18000000","1318269"
"2024-11-22","COST","stock","546.13","546.13","554.46","554.55","944427"
"2024-11-22","ETH","crypto","2759.05000000","2860.48000000","2542.89000000","2617.35000000","867262"
"2024-11-22","JNJ","stock","278.53","274.01","281.78","288.05","5770450"
"2024-11-22","MSFT","stock","167.57","165.86","168.71","170.64","4803273"
"2024-11-22","PG","stock","62.76","62.76","63.75","64.15","3873741"
"2024-11-22","V","stock","203.86","198.38","198.57","203.86","1241973"
"2024-11-21","BTC","crypto","52853.50000000","53930.23000000","50131.27000000","52742.93000000","5411768"
"2024-11-21","COST","stock","552.23","546.70","547.53","552.23","1154210"
"2024-11-21","ETH","crypto","2939.28000000","2992.59000000","2723.40000000","2772.36000000","462763"
"2024-11-21","JNJ","stock","276.30","272.70","278.38","288.55","744658"
"2024-11-21","MSFT","stock","169.77","166.88","167.26","169.77","366960"
"2024-11-21","PG","stock","62.67","62.67","62.96","63.05","2933048"
"2024-11-21","V","stock","202.94","194.40","205.29","217.60","2670194"
"2024-11-20","BTC","crypto","57957.57000000","57957.57000000","51807.65000000","52004.02000000","1477303"
"2024-11-20","COST","stock","558.68","547.05","550.28","558.68","2379004"
"2024-11-20","ETH","crypto","2875.41000000","3059.34000000","2831.00000000","2933.95000000","1841078"
"2024-11-20","JNJ","stock","271.30","271.30","276.94","277.43","7781807"
"2024-11-20","MSFT","stock","166.46","166.46","169.51","169.57","8927164"
"2024-11-20","PG","stock","62.70","62.63","62.68","62.70","8438420"
"2024-11-20","V","stock","201.28","201.10","201.50","206.01","1977365"
"2024-11-19","BTC","crypto","56716.42000000","58271.89000000","53016.14000000","54524.98000000","2318512"
"2024-11-19","COST","stock","557.57","557.57","560.95","561.92","1421757"
"2024-11-19","ETH","crypto","2777.74000000","2957.27000000","2733.41000000","2896.47000000","6487111"
"2024-11-19","JNJ","stock","280.23","266.55","269.78","280.23","5287212"
"2024-11-19","MSFT","stock","172.73","164.03","166.42","172.73","16308349"
"2024-11-19","PG","stock","62.53","62.32","62.68","63.14","7354207"
"2024-11-19","V","stock","200.92","199.82","201.26","203.07","7923920"
"2024-11-18","BTC","crypto","55305.42000000","58382.97000000","53974.01000000","55341.70000000","363197"
"2024-11-18","COST","stock","554.53","554.53","557.06","557.15","2175311"
"2024-11-18","ETH","crypto","2712.49000000","2963.82000000","2650.08000000","2809.76000000","1145106"
"2024-11-18","JNJ","stock","272.38","272.38","279.96","281.56","441273"
"2024-11-18","MSFT","stock","170.24","170.24","172.61","173.14","1746023"
"2024-11-18","PG","stock","64.69","62.70","62.98","64.69","3267987"
"2024-11-18","V","stock","194.46","194.46","201.34","202.34","19937658"
"2024-11-15","BTC","crypto","61796.08000000","70452.71000000","61796.08000000","66422.89000000","670419"
"2024-11-15","COST","stock","553.41","552.59","554.77","556.05","4150613"
"2024-11-15","ETH","crypto","2745.05000000","2745.05000000","2443.41000000","2596.70000000","1269036"
"2024-11-15","JNJ","stock","275.04","274.48","274.64","275.04","8753834"
"2024-11-15","MSFT","stock","171.14","169.26","169.28","171.14","1401320"
"2024-11-15","PG","stock","64.15","64.15","64.57","64.61","859948"
"2024-11-15","V","stock","202.37","194.71","195.38","202.37","2516994"
"2024-11-14","BTC","crypto","63119.58000000","66036.74000000","62626.79000000","64338.78000000","973385"
"2024-11-14","COST","stock","554.84","549.19","554.14","555.57","3422113"
"2024-11-14","ETH","crypto","2630.17000000","2757.32000000","2548.94000000","2657.19000000","789225"
"2024-11-14","JNJ","stock","285.38","270.85","276.20","285.38","11785096"
"2024-11-14","MSFT","stock","171.10","168.12","170.20","171.10","6579570"
"2024-11-14","PG","stock","64.50","64.35","64.39","64.50","7723203"
"2024-11-14","V","stock","195.59","195.59","201.16","201.35","4080922"
"2024-11-13","BTC","crypto","66001.31000000","67181.89000000","61567.57000000","61631.79000000","2347959"
"2024-11-13","COST","stock","548.43","548.43","557.69","560.59","4548035"
"2024-11-13","ETH","crypto","2463.61000000","2626.71000000","2463.61000000","2606.97000000","30160366"
"2024-11-13","JNJ","stock","274.78","274.78","284.91","285.35","2726813"
"2024-11-13","MSFT","stock","168.44","168.44","169.88","170.05","2292818"
"2024-11-13","PG","stock","63.55","63.55","64.40","64.89","1071470"
"2024-11-13","V","stock","190.44","190.44","194.47","195.98","999417"
"2024-11-12","BTC","crypto","58180.15000000","68125.82000000","58180.15000000","66044.08000000","1842703"
"2024-11-12","COST","stock","552.57","549.21","550.80","552.99","640571"
"2024-11-12","ETH","crypto","2357.60000000","2710.59000000","2357.60000000","2498.14000000","2102609"
"2024-11-12","JNJ","stock","272.75","271.51","276.90","280.51","5559273"
"2024-11-12","MSFT","stock","166.05","165.30","167.35","167.90","774536"
"2024-11-12","PG","stock","63.26","63.26","63.67","64.11","7304122"
"2024-11-12","V","stock","188.07","186.94","191.35","193.10","1560602"
"2024-11-11","BTC","crypto","57232.59000000","60751.87000000","56630.75000000","59843.45000000","2603434"
"2024-11-11","COST","stock","547.62","547.62","554.87","558.08","28363400"
"2024-11-11","ETH","crypto","2399.87000000","2426.98000000","2249.06000000","2318.24000000","2748466"
"2024-11-11","JNJ","stock","285.01","272.40","272.48","285.01","2197003"
"2024-11-11","MSFT","stock","163.03","163.03","166.31","167.43","9132692"
"2024-11-11","PG","stock","62.48","62.48","63.22","63.30","2182178"
"2024-11-11","V","stock","194.51","188.29","188.66","194.51","1003303"
"2024-11-08","BTC","crypto","53461.23000000","59191.54000000","52538.07000000","56987.61000000","781003"
"2024-11-08","COST","stock","557.38","548.36","548.81","557.38","8023836"
"2024-11-08","ETH","crypto","2439.14000000","2523.50000000","2417.94000000","2461.76000000","450247"
"2024-11-08","JNJ","stock","276.87","276.87","281.36","281.41","2436314"
"2024-11-08","MSFT","stock","171.80","162.29","163.05","171.80","3301725"
"2024-11-08","PG","stock","63.14","62.55","62.59","63.14","7759292"
"2024-11-08","V","stock","191.91","191.91","199.16","199.99","11836705"
"2024-11-07","BTC","crypto","53981.96000000","61149.60000000","53981.96000000","55308.57000000","2837689"
"2024-11-07","COST","stock","558.20","557.66","557.69","558.31","5348152"
"2024-11-07","ETH","crypto","2325.17000000","2482.97000000","2108.61000000","2432.89000000","1698954"
"2024-11-07","JNJ","stock","276.24","275.49","277.74","279.68","5606803"
"2024-11-07","MSFT","stock","168.27","168.27","171.85","172.99","1359041"
"2024-11-07","PG","stock","63.10","62.70","63.04","63.42","3238352"
"2024-11-07","V","stock","192.48","189.22","191.02","192.48","523911"
"2024-11-06","BTC","crypto","53888.52000000","59736.60000000","53203.73000000","57272.92000000","794181"
"2024-11-06","COST","stock","561.81","557.82","558.00","561.81","40230572"
"2024-11-06","ETH","crypto","2151.69000000","2369.05000000","2151.69000000","2330.12000000","4078734"
"2024-11-06","JNJ","stock","286.28","271.96","274.70","286.28","4466109"
"2024-11-06","MSFT","stock","169.39","166.63","166.74","169.39","1096424"
"2024-11-06","PG","stock","64.17","62.64","63.16","64.17","2523010"
"2024-11-06","V","stock","190.18","190.18","193.21","196.11","4617147"
"2024-11-05","BTC","crypto","55969.84000000","55969.84000000","51475.12000000","54516.26000000","3297329"
"2024-11-05","COST","stock","561.22","558.74","563.32","571.01","18524952"
"2024-11-05","ETH","crypto","2168.11000000","2269.02000000","2035.83000000","2253.46000000","2506968"
"2024-11-05","JNJ","stock","272.36","272.36","281.78","285.32","2071042"
"2024-11-05","MSFT","stock","170.82","169.12","169.51","170.82","8484431"
"2024-11-05","PG","stock","63.51","63.51","64.09","64.24","2031203"
"2024-11-05","V","stock","193.94","184.88","188.86","193.94","1613128"
"2024-11-04","BTC","crypto","51742.52000000","55724.04000000","51742.52000000","55549.77000000","3273142"
"2024-11-04","COST","stock","549.30","549.30","559.35","560.63","11138186"
"2024-11-04","ETH","crypto","2108.75000000","2281.82000000","2047.50000000","2168.70000000","10378450"
"2024-11-04","JNJ","stock","266.63","266.63","275.42","276.61","5334414"
"2024-11-04","MSFT","stock","172.11","169.87","170.09","172.11","2672745"
"2024-11-04","PG","stock","64.34","63.30","63.63","64.34","3901318"
"2024-11-04","V","stock","199.09","193.08","193.52","199.09","4877116"
"2024-11-01","BTC","crypto","52470.61000000","55573.53000000","48124.28000000","51564.14000000","1472265"
"2024-11-01","COST","stock","559.56","548.20","550.84","559.56","7104446"
"2024-11-01","ETH","crypto","1994.96000000","2054.05000000","1847.95000000","1966.62000000","2794630"
"2024-11-01","JNJ","stock","269.61","267.15","267.37","273.79","6853662"
"2024-11-01","MSFT","stock","168.99","168.99","171.33","171.90","3417644"
"2024-11-01","PG","stock","63.71","63.71","64.16","64.38","944142"
"2024-11-01","V","stock","190.70","190.70","196.34","199.42","23849637"
"2024-10-31","BTC","crypto","54265.15000000","56649.62000000","49244.09000000","51072.27000000","5114616"
"2024-10-31","COST","stock","567.80","555.91","556.82","567.80","1079004"
"2024-10-31","ETH","crypto","1929.06000000","2073.25000000","1929.06000000","1970.45000000","1021365"
"2024-10-31","JNJ","stock","274.20","270.38","270.91","274.20","3961465"
"2024-10-31","MSFT","stock","161.30","161.30","168.92","171.84","2150243"
"2024-10-31","PG","stock","64.09","63.68","63.73","64.09","2003183"
"2024-10-31","V","stock","191.10","189.11","189.87","191.10","2152173"
"2024-10-30","BTC","crypto","52814.97000000","55856.97000000","49239.21000000","54554.63000000","3728662"
"2024-10-30","COST","stock","571.89","568.96","570.15","571.89","4062153"
"2024-10-30","ETH","crypto","2049.65000000","2049.65000000","1945.66000000","1946.05000000","3829359"
"2024-10-30","JNJ","stock","286.13","275.24","276.21","286.13","21577799"
"2024-10-30","MSFT","stock","162.05","161.19","161.21","162.05","1256014"
"2024-10-30","PG","stock","64.53","64.02","64.14","64.53","5395252"
"2024-10-30","V","stock","188.79","188.79","189.39","189.64","982592"
"2024-10-29","BTC","crypto","54225.66000000","58229.53000000","49944.97000000","52130.16000000","11319735"
"2024-10-29","COST","stock","574.38","564.84","571.40","578.66","3395785"
"2024-10-29","ETH","crypto","2051.00000000","2202.31000000","1981.53000000","2050.10000000","730754"
"2024-10-29","JNJ","stock","282.71","282.71","283.71","284.26","2324027"
"2024-10-29","MSFT","stock","162.67","162.44","162.57","162.67","2056740"
"2024-10-29","PG","stock","64.77","64.59","64.59","64.77","4857775"
"2024-10-29","V","stock","188.44","188.44","191.86","192.14","669330"
"2024-10-28","BTC","crypto","55718.82000000","57902.66000000","53583.21000000","56595.59000000","4701293"
"2024-10-28","COST","stock","565.79","565.65","574.67","578.02","1920221"
"2024-10-28","ETH","crypto","2095.90000000","2160.08000000","1986.02000000","2101.32000000","8754340"
"2024-10-28","JNJ","stock","283.98","283.70","284.33","285.79","8186776"
"2024-10-28","MSFT","stock","157.88","157.88","162.23","162.25","2096857"
"2024-10-28","PG","stock","64.00","64.00","64.73","64.80","5611855"
"2024-10-28","V","stock","185.83","183.90","187.99","188.51","4819489"
"2024-10-25","BTC","crypto","64719.77000000","66615.01000000","59764.55000000","64828.23000000","1075757"
"2024-10-25","COST","stock","572.28","564.28","564.29","572.28","1345580"
"2024-10-25","ETH","crypto","2186.26000000","2289.83000000","2186.26000000","2226.65000000","2962967"
"2024-10-25","JNJ","stock","289.30","280.59","283.67","289.30","1941484"
"2024-10-25","MSFT","stock","163.07","155.73","158.84","163.07","2707405"
"2024-10-25","PG","stock","63.53","63.53","64.11","64.14","2037958"
"2024-10-25","V","stock","180.42","180.42","184.79","184.82","7078315"
"2024-10-24","BTC","crypto","65729.82000000","69107.15000000","64703.05000000","65277.31000000","1794637"
"2024-10-24","COST","stock","571.57","564.30","572.72","576.25","4659126"
"2024-10-24","ETH","crypto","2257.76000000","2408.75000000","2239.51000000","2248.96000000","4277300"
"2024-10-24","JNJ","stock","281.70","281.70","286.92","288.02","1784408"
"2024-10-24","MSFT","stock","160.19","160.19","162.29","163.42","842124"
"2024-10-24","PG","stock","63.34","62.53","63.80","64.63","21192260"
"2024-10-24","V","stock","175.68","175.68","180.12","180.49","1885300"
"2024-10-23","BTC","crypto","64195.62000000","68105.30000000","63567.13000000","65210.06000000","2541428"
"2024-10-23","COST","stock","564.63","564.63","571.38","574.99","2055214"
"2024-10-23","ETH","crypto","2325.78000000","2373.23000000","2162.66000000","2282.05000000","700638"
"2024-10-23","JNJ","stock","290.98","284.13","284.83","290.98","3070171"
"2024-10-23","MSFT","stock","162.31","159.07","160.66","162.31","534617"
"2024-10-23","PG","stock","63.00","63.00","63.25","63.26","2848909"
"2024-10-23","V","stock","178.82","177.26","177.42","178.82","18804310"
"2024-10-22","BTC","crypto","59218.89000000","66862.14000000","59218.89000000","66774.27000000","4229898"
"2024-10-22","COST","stock","560.38","559.90","564.19","565.27","4099326"
"2024-10-22","ETH","crypto","2474.23000000","2601.94000000","2301.48000000","2310.25000000","333774"
"2024-10-22","JNJ","stock","283.01","283.01","290.09","290.82","4016552"
"2024-10-22","MSFT","stock","163.99","158.82","163.23","164.64","383280"
